Địa phương,Cấp dữ liệu,Năm,Trạng thái,Doanh thu du lịch lữ hành (Tỷ đồng)
Hưng Yên,Tỉnh/thành,2019,Chính thức,6.3
Hưng Yên,Tỉnh/thành,2020,Chính thức,4.3
Hưng Yên,Tỉnh/thành,2021,Chính thức,3.42
Hưng Yên,Tỉnh/thành,2022,Chính thức,63.87
Hưng Yên,Tỉnh/thành,2023,Chính thức,35.44
Hưng Yên,Tỉnh/thành,2024,Sơ bộ,60.58
Thái Bình,Tỉnh/thành,2015,Chính thức,8.3
Thái Bình,Tỉnh/thành,2016,Chính thức,11.2
Thái Bình,Tỉnh/thành,2017,Chính thức,12
Thái Bình,Tỉnh/thành,2018,Chính thức,12.4
Thái Bình,Tỉnh/thành,2019,Chính thức,12.7
Thái Bình,Tỉnh/thành,2020,Chính thức,4.6
Thái Bình,Tỉnh/thành,2021,Chính thức,0.5
Thái Bình,Tỉnh/thành,2022,Chính thức,60.56
Thái Bình,Tỉnh/thành,2023,Chính thức,44.43
Thái Bình,Tỉnh/thành,2024,Sơ bộ,50.23
Hà Nam,Tỉnh/thành,2015,Chính thức,15.1
Hà Nam,Tỉnh/thành,2016,Chính thức,16.9
Hà Nam,Tỉnh/thành,2017,Chính thức,19
Hà Nam,Tỉnh/thành,2018,Chính thức,21.2
Hà Nam,Tỉnh/thành,2019,Chính thức,23.2
Hà Nam,Tỉnh/thành,2020,Chính thức,18.9
Hà Nam,Tỉnh/thành,2021,Chính thức,9.42
Hà Nam,Tỉnh/thành,2022,Chính thức,354.19
Hà Nam,Tỉnh/thành,2023,Chính thức,588.1
Hà Nam,Tỉnh/thành,2024,Sơ bộ,991.51
Nam Định,Tỉnh/thành,2015,Chính thức,13.9
Nam Định,Tỉnh/thành,2016,Chính thức,15.5
Nam Định,Tỉnh/thành,2017,Chính thức,16.3
Nam Định,Tỉnh/thành,2018,Chính thức,17.5
Nam Định,Tỉnh/thành,2019,Chính thức,20.7
Nam Định,Tỉnh/thành,2020,Chính thức,11.3
Nam Định,Tỉnh/thành,2021,Chính thức,10.17
Nam Định,Tỉnh/thành,2022,Chính thức,64.59
Nam Định,Tỉnh/thành,2023,Chính thức,87.04
Nam Định,Tỉnh/thành,2024,Sơ bộ,111.02
Ninh Bình,Tỉnh/thành,2015,Chính thức,8.5
Ninh Bình,Tỉnh/thành,2016,Chính thức,10.3
Ninh Bình,Tỉnh/thành,2017,Chính thức,12
Ninh Bình,Tỉnh/thành,2018,Chính thức,12.5
Ninh Bình,Tỉnh/thành,2019,Chính thức,13.6
Ninh Bình,Tỉnh/thành,2020,Chính thức,4.4
Ninh Bình,Tỉnh/thành,2021,Chính thức,1.86
Ninh Bình,Tỉnh/thành,2022,Chính thức,97.2
Ninh Bình,Tỉnh/thành,2023,Chính thức,144.4
Ninh Bình,Tỉnh/thành,2024,Sơ bộ,259.88
Trung du và miền núi phía Bắc,Vùng,2015,Chính thức,253.6
Trung du và miền núi phía Bắc,Vùng,2016,Chính thức,291.3
Trung du và miền núi phía Bắc,Vùng,2017,Chính thức,324.9
Trung du và miền núi phía Bắc,Vùng,2018,Chính thức,354.8
Trung du và miền núi phía Bắc,Vùng,2019,Chính thức,387.7
Trung du và miền núi phía Bắc,Vùng,2020,Chính thức,211.2
Trung du và miền núi phía Bắc,Vùng,2021,Chính thức,132.9
Trung du và miền núi phía Bắc,Vùng,2022,Chính thức,545.41
Trung du và miền núi phía Bắc,Vùng,2023,Chính thức,909.13
Trung du và miền núi phía Bắc,Vùng,2024,Sơ bộ,1070.39
Hà Giang,Tỉnh/thành,2015,Chính thức,35.5
Hà Giang,Tỉnh/thành,2016,Chính thức,38.8
Hà Giang,Tỉnh/thành,2017,Chính thức,43.7
Hà Giang,Tỉnh/thành,2018,Chính thức,44.6
Hà Giang,Tỉnh/thành,2019,Chính thức,50.2
Hà Giang,Tỉnh/thành,2020,Chính thức,23.9
Hà Giang,Tỉnh/thành,2021,Chính thức,6.4
Hà Giang,Tỉnh/thành,2022,Chính thức,20.97
Hà Giang,Tỉnh/thành,2023,Chính thức,25.16
Hà Giang,Tỉnh/thành,2024,Sơ bộ,27.28
Cao Bằng,Tỉnh/thành,2015,Chính thức,1.8
Cao Bằng,Tỉnh/thành,2016,Chính thức,5.6
Cao Bằng,Tỉnh/thành,2017,Chính thức,6
Cao Bằng,Tỉnh/thành,2018,Chính thức,6.4
Cao Bằng,Tỉnh/thành,2019,Chính thức,7.7
Cao Bằng,Tỉnh/thành,2020,Chính thức,2.9
Cao Bằng,Tỉnh/thành,2021,Chính thức,2.65
Cao Bằng,Tỉnh/thành,2022,Chính thức,6.22
Cao Bằng,Tỉnh/thành,2023,Chính thức,13.2
Cao Bằng,Tỉnh/thành,2024,Sơ bộ,14.63
Bắc Kạn,Tỉnh/thành,2015,Chính thức,0.2
Bắc Kạn,Tỉnh/thành,2016,Chính thức,0.02
Bắc Kạn,Tỉnh/thành,2017,Chính thức,0.02
Bắc Kạn,Tỉnh/thành,2018,Chính thức,0.1
Bắc Kạn,Tỉnh/thành,2019,Chính thức,0.1
Bắc Kạn,Tỉnh/thành,2020,Chính thức,0.1
Bắc Kạn,Tỉnh/thành,2021,Chính thức,0.4
Bắc Kạn,Tỉnh/thành,2022,Chính thức,0.6
Bắc Kạn,Tỉnh/thành,2023,Chính thức,2.64
Bắc Kạn,Tỉnh/thành,2024,Sơ bộ,4.16
Tuyên Quang,Tỉnh/thành,2015,Chính thức,3.6
Tuyên Quang,Tỉnh/thành,2016,Chính thức,4.2
Tuyên Quang,Tỉnh/thành,2017,Chính thức,4.6
Tuyên Quang,Tỉnh/thành,2018,Chính thức,4.9
Tuyên Quang,Tỉnh/thành,2019,Chính thức,6.1
Tuyên Quang,Tỉnh/thành,2020,Chính thức,6
Tuyên Quang,Tỉnh/thành,2021,Chính thức,0.98
Tuyên Quang,Tỉnh/thành,2022,Chính thức,12
Tuyên Quang,Tỉnh/thành,2023,Chính thức,3.47
Tuyên Quang,Tỉnh/thành,2024,Sơ bộ,5.51
Lào Cai,Tỉnh/thành,2015,Chính thức,129.9
Lào Cai,Tỉnh/thành,2016,Chính thức,143.6
Lào Cai,Tỉnh/thành,2017,Chính thức,162.9
Lào Cai,Tỉnh/thành,2018,Chính thức,179.1
Lào Cai,Tỉnh/thành,2019,Chính thức,189
Lào Cai,Tỉnh/thành,2020,Chính thức,93.6
Lào Cai,Tỉnh/thành,2021,Chính thức,60.03
Lào Cai,Tỉnh/thành,2022,Chính thức,115.59
Lào Cai,Tỉnh/thành,2023,Chính thức,282.53
Lào Cai,Tỉnh/thành,2024,Sơ bộ,307.6
Yên Bái,Tỉnh/thành,2015,Chính thức,..
Yên Bái,Tỉnh/thành,2016,Chính thức,1.4
Yên Bái,Tỉnh/thành,2017,Chính thức,1.5
Yên Bái,Tỉnh/thành,2018,Chính thức,2.7
Yên Bái,Tỉnh/thành,2019,Chính thức,3
Yên Bái,Tỉnh/thành,2020,Chính thức,1.5
Yên Bái,Tỉnh/thành,2021,Chính thức,0.77
Yên Bái,Tỉnh/thành,2022,Chính thức,9.78
Yên Bái,Tỉnh/thành,2023,Chính thức,1.6
Yên Bái,Tỉnh/thành,2024,Sơ bộ,5.83
Thái Nguyên,Tỉnh/thành,2015,Chính thức,18.6
Thái Nguyên,Tỉnh/thành,2016,Chính thức,25.3
Thái Nguyên,Tỉnh/thành,2017,Chính thức,27.7
Thái Nguyên,Tỉnh/thành,2018,Chính thức,32.4
Thái Nguyên,Tỉnh/thành,2019,Chính thức,36.7
Thái Nguyên,Tỉnh/thành,2020,Chính thức,18
Thái Nguyên,Tỉnh/thành,2021,Chính thức,29.7
Thái Nguyên,Tỉnh/thành,2022,Chính thức,160.77
Thái Nguyên,Tỉnh/thành,2023,Chính thức,219.56
Thái Nguyên,Tỉnh/thành,2024,Sơ bộ,258.54
Lạng Sơn,Tỉnh/thành,2015,Chính thức,7.7
Lạng Sơn,Tỉnh/thành,2016,Chính thức,7.6
Lạng Sơn,Tỉnh/thành,2017,Chính thức,8
Lạng Sơn,Tỉnh/thành,2018,Chính thức,8.3
Lạng Sơn,Tỉnh/thành,2019,Chính thức,9.3
Lạng Sơn,Tỉnh/thành,2020,Chính thức,2.5
Lạng Sơn,Tỉnh/thành,2021,Chính thức,9.1
Lạng Sơn,Tỉnh/thành,2022,Chính thức,20.32
Lạng Sơn,Tỉnh/thành,2023,Chính thức,22.26
Lạng Sơn,Tỉnh/thành,2024,Sơ bộ,25.01
Bắc Giang,Tỉnh/thành,2015,Chính thức,25.7
Bắc Giang,Tỉnh/thành,2016,Chính thức,34.4
Bắc Giang,Tỉnh/thành,2017,Chính thức,37.3
Bắc Giang,Tỉnh/thành,2018,Chính thức,40.9
Bắc Giang,Tỉnh/thành,2019,Chính thức,46.6
Bắc Giang,Tỉnh/thành,2020,Chính thức,26.2
Bắc Giang,Tỉnh/thành,2021,Chính thức,8
Bắc Giang,Tỉnh/thành,2022,Chính thức,36.99
Bắc Giang,Tỉnh/thành,2023,Chính thức,46.65
Bắc Giang,Tỉnh/thành,2024,Sơ bộ,65.59
Phú Thọ,Tỉnh/thành,2015,Chính thức,12.4
Phú Thọ,Tỉnh/thành,2016,Chính thức,13.6
Phú Thọ,Tỉnh/thành,2017,Chính thức,15
Phú Thọ,Tỉnh/thành,2018,Chính thức,16.4
Phú Thọ,Tỉnh/thành,2019,Chính thức,19.2
Phú Thọ,Tỉnh/thành,2020,Chính thức,17.4
Phú Thọ,Tỉnh/thành,2021,Chính thức,3.8
Phú Thọ,Tỉnh/thành,2022,Chính thức,141.59
Phú Thọ,Tỉnh/thành,2023,Chính thức,244.57
Phú Thọ,Tỉnh/thành,2024,Sơ bộ,299.49
Điện Biên,Tỉnh/thành,2015,Chính thức,..
Điện Biên,Tỉnh/thành,2016,Chính thức,..
Điện Biên,Tỉnh/thành,2017,Chính thức,..
Điện Biên,Tỉnh/thành,2018,Chính thức,..
Điện Biên,Tỉnh/thành,2019,Chính thức,..
Điện Biên,Tỉnh/thành,2020,Chính thức,1.3
Điện Biên,Tỉnh/thành,2021,Chính thức,0.77
Điện Biên,Tỉnh/thành,2022,Chính thức,1.79
Điện Biên,Tỉnh/thành,2023,Chính thức,2.44
Điện Biên,Tỉnh/thành,2024,Sơ bộ,3.94
Lai Châu,Tỉnh/thành,2015,Chính thức,1.6
Lai Châu,Tỉnh/thành,2016,Chính thức,2.1
Lai Châu,Tỉnh/thành,2017,Chính thức,2.2
Lai Châu,Tỉnh/thành,2018,Chính thức,2.2
Lai Châu,Tỉnh/thành,2019,Chính thức,2.4
Lai Châu,Tỉnh/thành,2020,Chính thức,1.5
Lai Châu,Tỉnh/thành,2021,Chính thức,3.7
Lai Châu,Tỉnh/thành,2022,Chính thức,5.17
Lai Châu,Tỉnh/thành,2023,Chính thức,4.9
Lai Châu,Tỉnh/thành,2024,Sơ bộ,5.2
Sơn La,Tỉnh/thành,2015,Chính thức,15.1
Sơn La,Tỉnh/thành,2016,Chính thức,12.9
Sơn La,Tỉnh/thành,2017,Chính thức,14
Sơn La,Tỉnh/thành,2018,Chính thức,14.6
Sơn La,Tỉnh/thành,2019,Chính thức,15
Sơn La,Tỉnh/thành,2020,Chính thức,14.8
Sơn La,Tỉnh/thành,2021,Chính thức,6.6
Sơn La,Tỉnh/thành,2022,Chính thức,13.62
Sơn La,Tỉnh/thành,2023,Chính thức,25.06
Sơn La,Tỉnh/thành,2024,Sơ bộ,29.34
Hòa Bình,Tỉnh/thành,2015,Chính thức,1.5
Hòa Bình,Tỉnh/thành,2016,Chính thức,1.8
Hòa Bình,Tỉnh/thành,2017,Chính thức,2
Hòa Bình,Tỉnh/thành,2018,Chính thức,2.2
Hòa Bình,Tỉnh/thành,2019,Chính thức,2.4
Hòa Bình,Tỉnh/thành,2020,Chính thức,1.5
Hòa Bình,Tỉnh/thành,2021,Chính thức,..
Hòa Bình,Tỉnh/thành,2022,Chính thức,..
Hòa Bình,Tỉnh/thành,2023,Chính thức,15.1
Hòa Bình,Tỉnh/thành,2024,Sơ bộ,18.25
Bắc Trung Bộ và Duyên hải miền Trung,Vùng,2015,Chính thức,2228.8
Bắc Trung Bộ và Duyên hải miền Trung,Vùng,2016,Chính thức,2764
Bắc Trung Bộ và Duyên hải miền Trung,Vùng,2017,Chính thức,3164.3
Bắc Trung Bộ và Duyên hải miền Trung,Vùng,2018,Chính thức,3704.5
Bắc Trung Bộ và Duyên hải miền Trung,Vùng,2019,Chính thức,4111.5
Bắc Trung Bộ và Duyên hải miền Trung,Vùng,2020,Chính thức,1367.3
Bắc Trung Bộ và Duyên hải miền Trung,Vùng,2021,Chính thức,1060.87
Bắc Trung Bộ và Duyên hải miền Trung,Vùng,2022,Chính thức,4976.36
Bắc Trung Bộ và Duyên hải miền Trung,Vùng,2023,Chính thức,10241.71
Bắc Trung Bộ và Duyên hải miền Trung,Vùng,2024,Sơ bộ,12906.67
Thanh Hóa,Tỉnh/thành,2015,Chính thức,73.1
Thanh Hóa,Tỉnh/thành,2016,Chính thức,88.1
Thanh Hóa,Tỉnh/thành,2017,Chính thức,97.2
Thanh Hóa,Tỉnh/thành,2018,Chính thức,108.6
Thanh Hóa,Tỉnh/thành,2019,Chính thức,119
Thanh Hóa,Tỉnh/thành,2020,Chính thức,80.2
Thanh Hóa,Tỉnh/thành,2021,Chính thức,25.83
Thanh Hóa,Tỉnh/thành,2022,Chính thức,197
Thanh Hóa,Tỉnh/thành,2023,Chính thức,231
Thanh Hóa,Tỉnh/thành,2024,Sơ bộ,282.75
Nghệ An,Tỉnh/thành,2015,Chính thức,53.1
Nghệ An,Tỉnh/thành,2016,Chính thức,68
Nghệ An,Tỉnh/thành,2017,Chính thức,88.7
Nghệ An,Tỉnh/thành,2018,Chính thức,96.5
Nghệ An,Tỉnh/thành,2019,Chính thức,109.7
Nghệ An,Tỉnh/thành,2020,Chính thức,52.3
Nghệ An,Tỉnh/thành,2021,Chính thức,13.27
Nghệ An,Tỉnh/thành,2022,Chính thức,114
Nghệ An,Tỉnh/thành,2023,Chính thức,351
Nghệ An,Tỉnh/thành,2024,Sơ bộ,425
Hà Tĩnh,Tỉnh/thành,2015,Chính thức,16.4
Hà Tĩnh,Tỉnh/thành,2016,Chính thức,15.9
Hà Tĩnh,Tỉnh/thành,2017,Chính thức,21.6
Hà Tĩnh,Tỉnh/thành,2018,Chính thức,23.4
Hà Tĩnh,Tỉnh/thành,2019,Chính thức,27
Hà Tĩnh,Tỉnh/thành,2020,Chính thức,12.2
Hà Tĩnh,Tỉnh/thành,2021,Chính thức,7.78
Hà Tĩnh,Tỉnh/thành,2022,Chính thức,16.4
Hà Tĩnh,Tỉnh/thành,2023,Chính thức,44.06
Hà Tĩnh,Tỉnh/thành,2024,Sơ bộ,65.17
Quảng Bình,Tỉnh/thành,2015,Chính thức,179.9
Quảng Bình,Tỉnh/thành,2016,Chính thức,168.6
Quảng Bình,Tỉnh/thành,2017,Chính thức,232.7
Quảng Bình,Tỉnh/thành,2018,Chính thức,284.2
Quảng Bình,Tỉnh/thành,2019,Chính thức,300.3
Quảng Bình,Tỉnh/thành,2020,Chính thức,125.4
Quảng Bình,Tỉnh/thành,2021,Chính thức,52.37
Quảng Bình,Tỉnh/thành,2022,Chính thức,218.57
Quảng Bình,Tỉnh/thành,2023,Chính thức,318.35
Quảng Bình,Tỉnh/thành,2024,Sơ bộ,353.33
Quảng Trị,Tỉnh/thành,2015,Chính thức,29.2
Quảng Trị,Tỉnh/thành,2016,Chính thức,29.8
Quảng Trị,Tỉnh/thành,2017,Chính thức,33.5
Quảng Trị,Tỉnh/thành,2018,Chính thức,35.6
Quảng Trị,Tỉnh/thành,2019,Chính thức,37.9
Quảng Trị,Tỉnh/thành,2020,Chính thức,6.7
Quảng Trị,Tỉnh/thành,2021,Chính thức,6.54
Quảng Trị,Tỉnh/thành,2022,Chính thức,20.19
Quảng Trị,Tỉnh/thành,2023,Chính thức,28.16
Quảng Trị,Tỉnh/thành,2024,Sơ bộ,33.68
Huế,Tỉnh/thành,2015,Chính thức,134.9
Huế,Tỉnh/thành,2016,Chính thức,176.7
Huế,Tỉnh/thành,2017,Chính thức,190.1
Huế,Tỉnh/thành,2018,Chính thức,205.8
Huế,Tỉnh/thành,2019,Chính thức,238.8
Huế,Tỉnh/thành,2020,Chính thức,104.2
Huế,Tỉnh/thành,2021,Chính thức,20.96
Huế,Tỉnh/thành,2022,Chính thức,188.02
Huế,Tỉnh/thành,2023,Chính thức,282.31
Huế,Tỉnh/thành,2024,Sơ bộ,349.8
Đà Nẵng,Tỉnh/thành,2015,Chính thức,1166.4
Đà Nẵng,Tỉnh/thành,2016,Chính thức,1461.6
Đà Nẵng,Tỉnh/thành,2017,Chính thức,1597.2
Đà Nẵng,Tỉnh/thành,2018,Chính thức,1905.6
Đà Nẵng,Tỉnh/thành,2019,Chính thức,2113.3
Đà Nẵng,Tỉnh/thành,2020,Chính thức,563.8
Đà Nẵng,Tỉnh/thành,2021,Chính thức,635.71
Đà Nẵng,Tỉnh/thành,2022,Chính thức,2394.05
Đà Nẵng,Tỉnh/thành,2023,Chính thức,4579.4
Đà Nẵng,Tỉnh/thành,2024,Sơ bộ,5460.89
Quảng Nam,Tỉnh/thành,2015,Chính thức,289.6
Quảng Nam,Tỉnh/thành,2016,Chính thức,364.9
Quảng Nam,Tỉnh/thành,2017,Chính thức,414
Quảng Nam,Tỉnh/thành,2018,Chính thức,439
Quảng Nam,Tỉnh/thành,2019,Chính thức,476.3
Quảng Nam,Tỉnh/thành,2020,Chính thức,93
Quảng Nam,Tỉnh/thành,2021,Chính thức,75.29
Quảng Nam,Tỉnh/thành,2022,Chính thức,109.53
Quảng Nam,Tỉnh/thành,2023,Chính thức,245.33
Quảng Nam,Tỉnh/thành,2024,Sơ bộ,332.22
Quảng Ngãi,Tỉnh/thành,2015,Chính thức,6.1
Quảng Ngãi,Tỉnh/thành,2016,Chính thức,7.9
Quảng Ngãi,Tỉnh/thành,2017,Chính thức,8.7
Quảng Ngãi,Tỉnh/thành,2018,Chính thức,9.3
Quảng Ngãi,Tỉnh/thành,2019,Chính thức,10.9
Quảng Ngãi,Tỉnh/thành,2020,Chính thức,4.4
Quảng Ngãi,Tỉnh/thành,2021,Chính thức,2.63
Quảng Ngãi,Tỉnh/thành,2022,Chính thức,14.13
Quảng Ngãi,Tỉnh/thành,2023,Chính thức,31.49
Quảng Ngãi,Tỉnh/thành,2024,Sơ bộ,52.77
Bình Định,Tỉnh/thành,2015,Chính thức,32.4
Bình Định,Tỉnh/thành,2016,Chính thức,37.3
Bình Định,Tỉnh/thành,2017,Chính thức,45.2
Bình Định,Tỉnh/thành,2018,Chính thức,50.9
Bình Định,Tỉnh/thành,2019,Chính thức,59.2
Bình Định,Tỉnh/thành,2020,Chính thức,36.5
Bình Định,Tỉnh/thành,2021,Chính thức,17.81
Bình Định,Tỉnh/thành,2022,Chính thức,206
Bình Định,Tỉnh/thành,2023,Chính thức,682.54
Bình Định,Tỉnh/thành,2024,Sơ bộ,942.48
Phú Yên,Tỉnh/thành,2015,Chính thức,2
Phú Yên,Tỉnh/thành,2016,Chính thức,3.3
Phú Yên,Tỉnh/thành,2017,Chính thức,3.7
Phú Yên,Tỉnh/thành,2018,Chính thức,4.2
Phú Yên,Tỉnh/thành,2019,Chính thức,4.3
Phú Yên,Tỉnh/thành,2020,Chính thức,2.1
Phú Yên,Tỉnh/thành,2021,Chính thức,1.43
Phú Yên,Tỉnh/thành,2022,Chính thức,9.7
Phú Yên,Tỉnh/thành,2023,Chính thức,6.7
Phú Yên,Tỉnh/thành,2024,Sơ bộ,13.7
Khánh Hòa,Tỉnh/thành,2015,Chính thức,197.4
Khánh Hòa,Tỉnh/thành,2016,Chính thức,290.2
Khánh Hòa,Tỉnh/thành,2017,Chính thức,372.8
Khánh Hòa,Tỉnh/thành,2018,Chính thức,477.5
Khánh Hòa,Tỉnh/thành,2019,Chính thức,544.5
Khánh Hòa,Tỉnh/thành,2020,Chính thức,245.1
Khánh Hòa,Tỉnh/thành,2021,Chính thức,166.41
Khánh Hòa,Tỉnh/thành,2022,Chính thức,1375.52
Khánh Hòa,Tỉnh/thành,2023,Chính thức,3252.88
Khánh Hòa,Tỉnh/thành,2024,Sơ bộ,4285.32
Ninh Thuận,Tỉnh/thành,2015,Chính thức,1.9
Ninh Thuận,Tỉnh/thành,2016,Chính thức,2
Ninh Thuận,Tỉnh/thành,2017,Chính thức,2.3
Ninh Thuận,Tỉnh/thành,2018,Chính thức,2.5
Ninh Thuận,Tỉnh/thành,2019,Chính thức,2.9
Ninh Thuận,Tỉnh/thành,2020,Chính thức,1.4
Ninh Thuận,Tỉnh/thành,2021,Chính thức,1.35
Ninh Thuận,Tỉnh/thành,2022,Chính thức,7.04
Ninh Thuận,Tỉnh/thành,2023,Chính thức,15.26
Ninh Thuận,Tỉnh/thành,2024,Sơ bộ,18.3
Bình Thuận,Tỉnh/thành,2015,Chính thức,46.4
Bình Thuận,Tỉnh/thành,2016,Chính thức,49.7
Bình Thuận,Tỉnh/thành,2017,Chính thức,56.6
Bình Thuận,Tỉnh/thành,2018,Chính thức,61.4
Bình Thuận,Tỉnh/thành,2019,Chính thức,67.4
Bình Thuận,Tỉnh/thành,2020,Chính thức,40
Bình Thuận,Tỉnh/thành,2021,Chính thức,33.5
Bình Thuận,Tỉnh/thành,2022,Chính thức,106.22
Bình Thuận,Tỉnh/thành,2023,Chính thức,173.24
Bình Thuận,Tỉnh/thành,2024,Sơ bộ,291.26
Tây Nguyên,Vùng,2015,Chính thức,109.2
Tây Nguyên,Vùng,2016,Chính thức,105.3
Tây Nguyên,Vùng,2017,Chính thức,120
Tây Nguyên,Vùng,2018,Chính thức,128.1
Tây Nguyên,Vùng,2019,Chính thức,145.1
Tây Nguyên,Vùng,2020,Chính thức,62.7
Tây Nguyên,Vùng,2021,Chính thức,51
Tây Nguyên,Vùng,2022,Chính thức,157.63
Tây Nguyên,Vùng,2023,Chính thức,188.56
Tây Nguyên,Vùng,2024,Sơ bộ,273.69
Kon Tum,Tỉnh/thành,2015,Chính thức,3
Kon Tum,Tỉnh/thành,2016,Chính thức,2.2
Kon Tum,Tỉnh/thành,2017,Chính thức,2.6
Kon Tum,Tỉnh/thành,2018,Chính thức,2.8
Kon Tum,Tỉnh/thành,2019,Chính thức,3.2
